second,mode,input_ug,corrected_ug,offset_ug,state,automatic_rebuild_count
333,STATIC,-63638,-63638,0,3,0
334,STATIC,-61948,-61948,0,3,0
335,STATIC,-59696,-59696,0,3,0
336,STATIC,-60259,-60259,0,3,0
337,STATIC,-58006,-58006,0,3,0
338,STATIC,-67017,-67017,0,3,0
339,STATIC,-69832,-69832,0,3,0
340,STATIC,-65890,-65890,0,3,0
341,STATIC,-65890,-65890,0,3,0
342,STATIC,-67580,-67580,0,3,0
343,STATIC,-66454,-66454,0,3,0
344,STATIC,-70959,-70959,0,3,0
345,STATIC,-67580,-67580,0,3,0
346,STATIC,-64764,-64764,0,3,0
347,STATIC,-64764,-64764,0,3,0
348,STATIC,-63638,-63638,0,3,0
349,STATIC,-63074,-63074,0,3,0
350,STATIC,-62512,-62512,0,3,0
351,STATIC,-60822,-60822,0,3,0
352,STATIC,-68706,-68706,0,3,0
353,STATIC,-61385,-61385,0,3,0
354,STATIC,-60822,-60822,0,3,0
355,STATIC,-64764,-64764,0,3,0
356,STATIC,-68706,-68706,0,3,0
357,STATIC,-72086,-72086,0,3,0
358,STATIC,-74901,-74901,0,3,0
359,STATIC,-72648,-72648,0,3,0
360,STATIC,-67580,-67580,0,3,0
361,STATIC,-67017,-67017,0,3,0
362,STATIC,-69833,-69833,0,3,0
363,STATIC,-72648,-72648,0,3,0
364,STATIC,-70396,-70396,0,3,0
365,STATIC,-69270,-69270,0,3,0
366,STATIC,-77717,-77717,0,3,0
367,STATIC,-78280,-78280,0,3,0
368,STATIC,-66454,-66454,0,3,0
369,STATIC,-69832,-69832,0,3,0
370,STATIC,-65890,-65890,0,3,0
371,STATIC,-65890,-65890,0,3,0
372,STATIC,-67580,-67580,0,3,0
373,STATIC,-61385,-61385,0,3,0
374,STATIC,-54627,-54627,0,3,0
375,STATIC,-59696,-59696,0,3,0
376,STATIC,-61948,-61948,0,3,0
377,STATIC,-67016,-67016,0,3,0
378,STATIC,-70396,-70396,0,3,0
379,STATIC,-65327,-65327,0,3,0
380,STATIC,-72086,-72086,0,3,0
381,STATIC,-68143,-68143,0,3,0
382,STATIC,-62512,-62512,0,3,0
383,STATIC,-68706,-68706,0,3,0
384,STATIC,-73775,-73775,0,3,0
385,STATIC,-71522,-71522,0,3,0
386,STATIC,-72086,-72086,0,3,0
387,STATIC,-67017,-67017,0,3,0
388,STATIC,-67580,-67580,0,3,0
389,STATIC,-67580,-67580,0,3,0
390,STATIC,-70959,-70959,0,3,0
391,STATIC,-67017,-67017,0,3,0
392,STATIC,-60259,-60259,0,3,0
393,STATIC,-62512,-62512,0,3,0
394,STATIC,-56316,-56316,0,3,0
395,STATIC,-60258,-60258,0,3,0
396,STATIC,-60822,-60822,0,3,0
397,STATIC,-58570,-58570,0,3,0
398,STATIC,-59132,-59132,0,3,0
399,STATIC,-60822,-60822,0,3,0
400,STATIC,-63075,-63075,0,3,0
401,STATIC,-65328,-65328,0,3,0
402,STATIC,-62512,-62512,0,3,0
403,STATIC,-65890,-65890,0,3,0
404,STATIC,-65890,-65890,0,3,0
405,STATIC,-69832,-69832,0,3,0
406,STATIC,-71522,-71522,0,3,0
407,STATIC,-68706,-68706,0,3,0
408,STATIC,-68706,-68706,0,3,0
409,STATIC,-70396,-70396,0,3,0
410,STATIC,-63074,-63074,0,3,0
411,STATIC,-65328,-65328,0,3,0
412,STATIC,-72086,-72086,0,3,0
413,STATIC,-74338,-74338,0,3,0
414,STATIC,-69270,-69270,0,3,0
415,STATIC,-69833,-69833,0,3,0
416,STATIC,-66454,-66454,0,3,0
417,STATIC,-70959,-70959,0,3,0
418,STATIC,-70959,-70959,0,3,0
419,STATIC,-69832,-69832,0,3,0
420,STATIC,-69833,-69833,0,3,0
421,STATIC,-72648,-72648,0,3,0
422,STATIC,-71522,-71522,0,3,0
423,STATIC,-70959,-70959,0,3,0
