utc,transaction_id,address,quantity,ok,latency_ms,error
2026-09-12T08:06:58Z,191,32,2,1,9.500,
2026-09-12T08:06:58Z,192,0,32,1,55.632,
2026-09-12T08:06:58Z,193,0,32,1,56.284,
2026-09-12T08:06:58Z,194,0,32,1,55.214,
2026-09-12T08:06:58Z,195,0,32,1,65.282,
2026-09-12T08:06:58Z,196,0,32,1,55.534,
2026-09-12T08:06:58Z,197,0,32,1,55.544,
2026-09-12T08:06:58Z,198,0,32,1,55.669,
2026-09-12T08:06:58Z,199,0,32,1,57.041,
2026-09-12T08:06:59Z,200,0,32,1,56.706,
2026-09-12T08:06:59Z,201,32,2,1,19.028,
2026-09-12T08:06:59Z,202,0,32,1,55.048,
2026-09-12T08:06:59Z,203,0,32,1,65.839,
2026-09-12T08:06:59Z,204,0,32,1,56.057,
2026-09-12T08:06:59Z,205,0,32,1,56.108,
2026-09-12T08:06:59Z,206,0,32,1,55.742,
2026-09-12T08:06:59Z,207,0,32,1,55.122,
2026-09-12T08:06:59Z,208,0,32,1,55.544,
2026-09-12T08:06:59Z,209,0,32,1,66.667,
2026-09-12T08:07:00Z,210,0,32,1,56.217,
2026-09-12T08:07:00Z,211,32,2,1,9.501,
2026-09-12T08:07:00Z,212,0,32,1,66.582,
2026-09-12T08:07:00Z,213,0,32,1,55.324,
2026-09-12T08:07:00Z,214,0,32,1,66.653,
2026-09-12T08:07:00Z,215,0,32,1,55.597,
2026-09-12T08:07:00Z,216,0,32,1,55.073,
2026-09-12T08:07:00Z,217,0,32,1,56.158,
2026-09-12T08:07:00Z,218,0,32,1,64.574,
2026-09-12T08:07:00Z,219,0,32,1,57.077,
2026-09-12T08:07:01Z,220,0,32,1,56.192,
2026-09-12T08:07:01Z,221,32,2,1,10.518,
2026-09-12T08:07:01Z,222,0,32,1,65.576,
2026-09-12T08:07:01Z,223,0,32,1,64.591,
2026-09-12T08:07:01Z,224,0,32,1,56.109,
2026-09-12T08:07:01Z,225,0,32,1,57.131,
2026-09-12T08:07:01Z,226,0,32,1,56.543,
2026-09-12T08:07:01Z,227,0,32,1,57.042,
2026-09-12T08:07:01Z,228,0,32,1,55.618,
2026-09-12T08:07:01Z,229,0,32,1,56.773,
2026-09-12T08:07:02Z,230,0,32,1,66.175,
2026-09-12T08:07:02Z,231,32,2,1,8.500,
2026-09-12T08:07:02Z,232,0,32,1,56.080,
2026-09-12T08:07:02Z,233,0,32,1,55.600,
2026-09-12T08:07:02Z,234,0,32,1,56.103,
2026-09-12T08:07:02Z,235,0,32,1,55.090,
2026-09-12T08:07:02Z,236,0,32,1,55.093,
2026-09-12T08:07:02Z,237,0,32,1,55.579,
2026-09-12T08:07:02Z,238,0,32,1,55.574,
2026-09-12T08:07:02Z,239,0,32,1,56.545,
2026-09-12T08:07:03Z,240,0,32,1,56.179,
2026-09-12T08:07:03Z,241,32,2,1,8.504,
2026-09-12T08:07:03Z,242,0,32,1,55.552,
2026-09-12T08:07:03Z,243,0,32,1,55.073,
2026-09-12T08:07:03Z,244,0,32,1,65.088,
2026-09-12T08:07:03Z,245,0,32,1,55.564,
2026-09-12T08:07:03Z,246,0,32,1,66.113,
2026-09-12T08:07:03Z,247,0,32,1,65.833,
2026-09-12T08:07:03Z,248,0,32,1,56.561,
2026-09-12T08:07:04Z,249,0,32,1,65.100,
2026-09-12T08:07:04Z,250,0,32,1,55.662,
2026-09-12T08:07:04Z,251,32,2,1,10.500,
2026-09-12T08:07:04Z,252,0,32,1,65.639,
2026-09-12T08:07:04Z,253,0,32,1,56.684,
2026-09-12T08:07:04Z,254,0,32,1,55.633,
2026-09-12T08:07:04Z,255,0,32,1,68.258,
2026-09-12T08:07:04Z,256,0,32,1,66.839,
2026-09-12T08:07:04Z,257,0,32,1,55.946,
2026-09-12T08:07:04Z,258,0,32,1,56.175,
2026-09-12T08:07:05Z,259,0,32,1,55.094,
2026-09-12T08:07:05Z,260,0,32,1,54.733,
2026-09-12T08:07:05Z,261,32,2,1,8.509,
