communication_state,crc_valid,exception,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,3,88,43.9919,39.5947,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58edffff58edac21,3242,196608,0,1784915500.5916517,0103000000204412
not mapped,True,,3,89,43.9786,39.7384,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56a8ffff56a8a553,3243,196608,0,1784915500.7062597,0103000000204412
not mapped,True,,3,90,44.0744,40.1194,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55edffff55eda9ac,3245,196608,0,1784915500.821324,0103000000204412
not mapped,True,,3,91,43.9918,40.0275,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5750ffff57500544,3246,196608,0,1784915500.934845,0103000000204412
not mapped,True,,3,92,44.0302,39.5189,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5496ffff54960dc4,3247,196608,0,1784915501.0479147,0103000000204412
not mapped,True,,3,93,43.9628,39.573,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5593ffff55930186,3248,196608,0,1784915501.1619585,0103000000204412
not mapped,True,,3,94,44.5555,40.04,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54d5ffff54d509fa,3249,196608,0,1784915501.274983,0103000000204412
not mapped,True,,3,95,43.9665,39.5852,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5458ffff5458e580,3250,196608,0,1784915501.3920014,0103000000204412
not mapped,True,,3,96,44.49,39.9095,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff541dffff541de9bc,3252,196608,0,1784915501.5050225,0103000000204412
not mapped,True,,3,97,44.3756,40.0283,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5459ffff54591980,3253,196608,0,1784915501.6188288,0103000000204412
not mapped,True,,3,98,44.1433,40.1636,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5390ffff53900641,3254,196608,0,1784915501.7335453,0103000000204412
not mapped,True,,3,99,44.0855,40.1323,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54e1ffff54e1b9e9,3255,196608,0,1784915501.846638,0103000000204412
not mapped,True,,3,100,44.1347,39.6345,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5775ffff57758958,3256,196608,0,1784915501.9621599,0103000000204412
not mapped,True,,3,101,44.5534,40.0173,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5658ffff5658e502,3257,196608,0,1784915502.076288,0103000000204412
not mapped,True,,3,102,44.1621,39.5752,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56e3ffff56e3416a,3259,196608,0,1784915502.189601,0103000000204412
