host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T13:15:34.921809+08:00,1286553.750000000,355.063000,D_sensor_zero,channel_a,0.0,4305,423340,-43368,-43368,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.017829+08:00,1286553.859000000,355.172000,D_sensor_zero,channel_a,0.0,4306,423436,-43376,-43376,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.116239+08:00,1286553.953000000,355.266000,D_sensor_zero,channel_a,0.0,4307,423534,-43366,-43366,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.213261+08:00,1286554.046000000,355.359000,D_sensor_zero,channel_a,0.0,4308,423631,-43369,-43369,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.312392+08:00,1286554.140000000,355.453000,D_sensor_zero,channel_a,0.0,4309,423729,-43389,-43389,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.409922+08:00,1286554.250000000,355.563000,D_sensor_zero,channel_a,0.0,4310,423827,-43368,-43368,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.508024+08:00,1286554.343000000,355.656000,D_sensor_zero,channel_a,0.0,4311,423925,-43380,-43380,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.605176+08:00,1286554.437000000,355.750000,D_sensor_zero,channel_a,0.0,4312,424023,-43399,-43399,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.703770+08:00,1286554.531000000,355.844000,D_sensor_zero,channel_a,0.0,4313,424121,-43406,-43406,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:35.805416+08:00,1286554.640000000,355.953000,D_sensor_zero,channel_a,0.0,4314,424223,-43402,-43402,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
